word,example
der Kauf,Der neue Esstisch war ein guter Kauf.
"der Käufer, die Käuferin, -nen",Ich habe schon einen Käufer für den alten Tisch.
kaum,1. Ich kann Sie kaum verstehen. Bitte sprechen Sie lauter. 2. Es hat letzte Woche kaum geregnet. 3. Die Fahrt hat nicht lange gedauert. Kaum 20 Minuten.
kein-,1. Ich habe leider heute keine Zeit. 2. Jetzt habe ich noch keinen Hunger. 3. Ich habe keine Kinder. 4. Was für ein Auto haben Sie? – Ich habe keins.
"der Keller, -",Unser Keller ist nicht besonders groß.
"der Kellner, die Kellnerin, -nen → D, A: Ober; CH: Serviceangestellter",Ich bin Kellnerin von Beruf.
"kennen, kennt, kannte, hat gekannt","1. Kennen Sie hier in der Nähe ein gemütliches Café? 2. Kennen Sie diese Frau? – Nein, leider nicht. 3. Kennen Sie Berlin? – Ja, eine tolle Stadt."
"kennenlernen, lernt kennen, lernte kennen, hat kennengelernt",1. Wo habt ihr euch kennengelernt? 2. Ich möchte gern reisen und andere Länder kennenlernen.
die Kenntnisse (Pl.),1. In vielen Berufen braucht man heute Sprachkenntnisse. 2. Ich möchte meine Deutschkenntnisse verbessern.
"das Kennzeichen, -",Das Auto hat ein Schweizer Kennzeichen.
"die Kerze, -n",Für den Geburtstagstisch brauchen wir viele Blumen und Kerzen.
"die Kette, -n",Ich habe zum Geburtstag eine goldene Kette bekommen.
"das Kind, -er",1. Mein Bruder hat zwei Kinder. 2. Wir haben ein Kind bekommen. 3. Die Kinder spielen Fußball.
"der Kindergarten, ¨-",Morgens bringe ich meinen Sohn in den Kindergarten.
die Kindheit,In meiner Kindheit war ich oft auf dem Land bei meinen Großeltern.
"das Kino, -s",Wollen wir ins Kino gehen?
"der Kiosk, -e",Zeitungen bekommst du am Kiosk.
"die Kirche, -n",Diese Kirche ist aus dem 12. Jahrhundert.
"die Kiste, -n (A, D) → D: Kasten",Ich habe zwei Kisten Bier gekauft.
"das Kissen, -",Ohne Kopfkissen kann ich nicht schlafen.
"klagen, klagt, klagte, hat geklagt",Sie klagt über Kopfschmerzen.
"klappen, klappt, klappte, hat geklappt",Wie war die Reise? – Gut. Es hat alles prima geklappt.
klar,"1. Sie müssen noch mehr Deutsch lernen. – Ja, das ist mir klar. 2. Kommst du mit? – Klar! 3. Ich komme zu deinem Geburtstag, das ist doch klar. 4. Leider haben wir bei der Bahn keine klare Auskunft bekommen."
"klären, klärt, klärte, hat geklärt","Ich hoffe, wir können dieses Problem bald klären."
klasse,Ich finde unseren Lehrer klasse.
"die Klasse, -n","1. In der Klasse sind 24 Schülerinnen und Schüler. 2. Im Herbst komme ich in die 7. Klasse. 3. Einmal nach Frankfurt, 1. Klasse, bitte."
"die Klassenarbeit, -en (D) → A: Schularbeit",Mein Sohn schreibt bei Klassenarbeiten immer gute Noten.
"das Klavier, -e",Meine Tochter möchte Klavier spielen lernen.
"kleben, klebt, klebte, hat geklebt",1. Die Briefmarke klebt nicht mehr. 2. Ich klebe Ihnen ein Pflaster darauf.
"das Kleid, -er",Ich habe mir ein neues Kleid gekauft.
die Kleidung,Hier brauchen Sie auch im Sommer warme Kleidung.
klein,1. Unsere Wohnung ist klein. 2. Unser Kind ist noch klein. 3. Wir machen am Sonntag einen kleinen Ausflug.
"klettern, klettert, kletterte, ist geklettert",Die Kinder sind auf den Baum geklettert.
"klicken, klickt, klickte, hat geklickt","Wenn du die Datei öffnen willst, musst du mit der Maus zweimal klicken."
"der Klick, - s","Um das Wort zu markieren, genügt ein Doppelklick mit der linken Maustaste."
das Klima,"Alle sagen, dass sich das Klima ändert."
"die Klimaanlage, -n",Im Sommer brauchen wir eine Klimaanlage.
"klingeln, klingelt, klingelte, hat geklingelt","1. Ich glaube, es hat an der Tür geklingelt. 2. Das Telefon klingelt."
"die Klingel, -n",Drück bitte auf die Klingel!
"klingen, klingt, klang, hat geklungen","Wollen wir einkaufen gehen und danach zusammen kochen? – Ja, das klingt gut."
"die Klinik, -en","Ich muss in die Klinik, um meinen kranken Onkel zu besuchen."
"klopfen, klopft, klopfte, hat geklopft",1. Da klopft jemand ans Fenster. 2. Hat es nicht eben geklopft? 3. Bitte klopfen Sie an.
"der Kloß, ¨-e (D) → D, A: Knödel","Möchten Sie zum Fleisch Kartoffeln oder Klöße? – Klöße, bitte."
klug,1. Ich halte sie für klug. 2. Er hat sich in der Diskussion nicht besonders klug verhalten. 3. Das ist ein kluger Hund.
knapp,1. Mach schnell. Die Zeit ist knapp. 2. Unser Geld wird knapp. Wir müssen sparen. 3. Die Fahrt war kurz. Nur knapp eine Stunde. 4. Die Wohnung hat nur knapp 30 m². 5. Der Tisch hat nur knapp 50 Euro gekostet.
"die Kneipe, -n (D)",Gehen wir noch in eine Kneipe ein Bier trinken?
"das Knie, -",Ich habe mich am Knie verletzt. Jetzt kann ich nicht laufen.
"der Knochen, -",Ich bin hingefallen. Jetzt tun mir alle Knochen weh.
"der Knödel, - (D, A) → D: Kloß",Möchten Sie zum Fleisch Erdäpfel oder Knödel? – Knödel bitte.
"der Knopf, ¨-e",1. An meiner Jacke fehlt ein Knopf. 2. Der Fahrstuhl kommt nicht. – Sie müssen auf den Knopf drücken.
"kochen, kocht, kochte, hat gekocht",1. Ich koche gern. 2. Das Wasser kocht. 3. Der Reis muss etwa 20 Minuten kochen.
"der Koch, ¨-e die Köchin, -nen",Ein Freund von mir ist Koch in einem teuren Restaurant.
"der Koffer, -",Ich habe den Koffer schon gepackt.
"der Kollege, -n die Kollegin, -nen",1. Ich habe guten Kontakt zu meinen Kollegen. 2. Mein neuer Kollege ist sehr nett.
komisch,1. Das Essen schmeckt komisch. Probier mal. 2. Der Film war sehr komisch. Wir haben viel gelacht. 3. Eine grüne Hose und gelbe Schuhe? Das sieht komisch aus.
"kommen, kommt, kam, ist gekommen","1. Woher kommen Sie? – Aus Frankreich. 2. Wir gehen heute Abend ins Konzert. Kommen Sie auch? 3. Kommen Sie doch mal wieder zu uns. 4. Wenn Sie mal nach Köln kommen, besuchen Sie uns. 5. Steffi kommt im Herbst in die Schule. 6. Die Straßenbahn muss gleich kommen. 7. Wer kommt als Nächster dran? 8. Die Handtücher kommen in den Schrank. 9. Wie sind Sie denn auf diese Idee gekommen?"
die Kommunikation,Die Kommunikation zwischen den Abteilungen ist gut.
komplett,1. Ich habe den Termin komplett vergessen. 2. Die Wohnung ist jetzt komplett eingerichtet.
kompliziert,Er schreibt viel zu kompliziert.
"der Kompromiss, -e",Alle wollen etwas anderes. Wir müssen einen Kompromiss finden.
"die Konferenz, -en",Die Konferenz findet in Raum 19 statt.
"die Konfitüre, -n (CH)",Bring bitte noch ein Glas Konfitüre mit.
"der Konflikt, -e",1. Das ist ein alter Konflikt. 2. Ich habe einen Konflikt mit meinen Eltern.
"der König, -e",Der spanische König ist in Deutschland zu Besuch.
die Konkurrenz,"1. Die Reparatur ist mir hier zu teuer. Bei der Konkurrenz bekomme ich sie für die Hälfte. 2. Es ist schwer, ein Geschäft aufzumachen. Die Konkurrenz ist groß."
"können, kann, konnte, hat gekonnt (hat können als Modalverb)","1. Ich kann den schweren Koffer nicht tragen. 2. Sie können mit dem Bus zum Bahnhof fahren. 3. Kann ich jetzt nach Hause gehen? 4. Können Sie mir helfen? 5. Ich kann sehr gut Englisch und Deutsch. 6. Es kann sein, dass es heute noch regnet."
"das Konsulat, -e",Ein Visum bekommst du auch im Konsulat.
"konsumieren, konsumiert, konsumierte, hat konsumiert",Die Europäer haben im letzten Jahr mehr Fleisch konsumiert.
der Konsum,Der Konsum von Lebensmitteln steigt.
"der Kontakt, -e",Ich habe wenig Kontakt zu meinen Kollegen.
"das Konto, Konten",1. Ich möchte ein Konto eröffnen. 2. Das Geld überweisen wir am 1. März auf Ihr Konto.
"das Girokonto, -en",Mein Girokonto kostet gar nichts.
"kontrollieren, kontrolliert, kontrollierte, hat kontrolliert",Beim Auto müssen Sie regelmäßig das Öl kontrollieren.
"die Kontrolle, -n",1. An den Grenzen gibt es kaum noch Kontrollen. 2. Fahrkartenkontrolle! Bitte Ihre Fahrkarten!
"sich konzentrieren, konzentriert sich, konzentrierte sich, hat sich konzentriert",Bitte stör mich jetzt nicht. Ich muss mich auf meine Arbeit konzentrieren.
"das Konzert, -e",Für das Konzert am Sonntag gibt es noch Karten.
"der Kopf, ¨-e",1. Ich habe Kopfschmerzen. 2. Michael kann gut im Kopf rechnen.
kopieren,1. Kann ich mir diesen Artikel kopieren? 2. Ich kopiere dir die Datei auf die Speicherkarte. 3. Ich kann dir die CD kopieren.
"die Kopie, -n",Machst du mir bitte eine Kopie?
"der Kopierer, -",Der Kopierer ist schon wieder kaputt.
"der Körper, -","Der Arzt sagt, ich muss etwas für meinen Körper tun, z. B. schwimmen oder Fahrrad fahren."
körperlich,Körperliche Arbeit macht mir nichts aus.
korrekt,Ich habe die Rechnung geprüft. Alles ist korrekt.
"der Korridor, -e (D, CH) → Gang; D: Flur",Wir warten draußen im Korridor.
"korrigieren, korrigiert, korrigierte, hat korrigiert",1. Können Sie bitte meinen Brief korrigieren? 2. Der Lehrer hat meine Fehler korrigiert.
"kosten, kostet, kostete, hat gekostet","1. Wie viel kostet das T-Shirt? – 15 Euro. 2. Eine Wohnung zu finden, kostet viel Zeit."
die Kosten (Pl.),Die Kosten für die Reise bekomme ich von der Firma.
kostenlos,Diese Zeitschrift kostet nichts. Sie ist kostenlos.
"kosten, kostet, kostete, hat gekostet (A) → D, CH:",Möchten Sie den Käse mal kosten?
"das Kostüm, -e",In dem Film tragen die Leute bunte Kostüme.
"die Kraft, ¨-e",Für diese Arbeit braucht man viel Kraft.
kräftig,1. Der Mann ist kräftig. Er macht viel Sport und isst viel. 2. Die Suppe musst du kräftig würzen.
"das Kraftfahrzeug, -e",Auf dieser Straße sind Kraftfahrzeuge nicht erlaubt.
"das Kraftwerk, -e",Die Menschen protestieren gegen das Kraftwerk.
krank,1. Ich war zwei Wochen krank. 2. Ich muss mich um meine kranke Großmutter kümmern.
"der Kranke, -n","Kranke brauchen viel Ruhe. die Kranke, -n"
"das Krankenhaus, ¨-er",Er hat sich verletzt und musste ins Krankenhaus.
"die Krankenkasse, -n",Die Krankenkasse bezahlt die Medikamente.
"der Krankenpfleger, -",Mein Bruder arbeitet als Krankenpfleger im Krankenhaus.
"die Krankenschwester, -n",Meine Cousine möchte gern Krankenschwester werden.
"der Krankenwagen, -",Wir mussten einen Krankenwagen rufen.
"die Krankheit, -en",1. Gegen welche Krankheiten sollte ich mich impfen lassen? 2. Was für eine Krankheit hat Herr Brandner?
kreativ,1. Die Kinder sind beim Basteln sehr kreativ. 2. Wir brauchen eine kreative Lösung für dieses Problem.
"der Kredit, -e",1. Ich habe den Wagen auf Kredit gekauft. 2. Wir haben von der Bank einen Kredit bekommen.
"die Kreditkarte, -n",Kann ich mit Kreditkarte zahlen?
"der Kreis, -e",1. Die Kinder sitzen im Kindergarten im Kreis. 2. Bitte malt jetzt alle einen Kreis in euer Heft. 3. Unser Ort gehört zum Kreis Neuss.
"das Kreuz, -e",Was bedeutet dieses Kreuz hier?
"die Kreuzung, -en",Fahren Sie an der nächsten Kreuzung rechts.
"der Krieg, -e",1. Es herrscht noch immer Krieg in diesem Land. 2. Der Lehrer spricht über den Zweiten Weltkrieg.
"kriegen, kriegt, kriegte, hat gekriegt","1. Haben Sie meinen Brief gekriegt? 2. Was kriegen Sie? – Ein Schwarzbrot, bitte."
die Kriminalpolizei,Ein Nachbar von uns arbeitet bei der Kriminalpolizei.
"der Krimi, -s",Heute Abend kommt ein spannender Krimi im Fernsehen.
"die Krise, -n",Die Wirtschaft steckt in einer schweren Krise.
"kritisieren, kritisiert, kritisierte, hat kritisiert",Kritisiere mich nicht so oft.
"die Kritik, -en",1. Es gibt viel Kritik an der Politik der Regierung. 2. Dieser Film hat sehr gute Kritiken bekommen.
kritisch,Es gab eine Diskussion über die Lebensmittelpreise. Ein Journalist hat kritische Fragen gestellt.
"die Küche, -n","1. Ich suche eine Wohnung mit drei Zimmern, Küche und Bad. 2. Ich mag die deutsche Küche."
"der Kuchen, -",Ich habe einen Kuchen gebacken.
"der Kugelschreiber, -",Mein Kugelschreiber ist weg.
"der Kuli, -s",Hast du einen Kuli für mich?
kühl,Es ist kühl draußen. Zieh dir eine Jacke an.
"der Kühlschrank, ¨-e",Stell die Milch in den Kühlschrank!
"die Kultur, -en",Ich interessiere mich für andere Länder und Kulturen.
kulturell,Es gibt große kulturelle Unterschiede zwischen den Ländern.
"sich kümmern, kümmert sich, kümmerte sich, hat sich gekümmert",1. Ich kann nicht arbeiten. Ich muss mich um die Kinder kümmern. 2. Ich habe keine Zeit. Ich muss mich um das Essen kümmern.
"der Kunde, -n die Kundin, -nen","1. Sie ist schon lange bei mir Kundin. Ich habe ihr einen Sonderpreis gegeben. 2. Einen Augenblick, bitte. Ich habe einen Kunden."
"kündigen, kündigt, kündigte, hat gekündigt",1. Ich war mit meiner Stelle nicht zufrieden und habe gekündigt. 2. Hast du deine Wohnung schon gekündigt? 3. Ich möchte die Zeitschrift nicht mehr. – Dann musst du schriftlich kündigen.
"die Kündigung, -en",Ich habe die Kündigung bekommen. Jetzt bin ich arbeitslos.
"die Kunst, ¨-e",Ich verstehe nichts von moderner Kunst.
"der Künstler, die Künstlerin, -nen",In diesem Stadtteil wohnen viele Künstlerinnen. Neben uns wohnt eine Musikerin.
künstlich,Ich mag kein künstliches Licht.
"der Kunststoff, -e",Der Stuhl ist aus Kunststoff.
"der Kurs, -e",Ich besuche regelmäßig einen Deutschkurs.
"der Kursleiter, die Kursleiter, -nen",Die Kursleiterin ist mit unserer Kursgruppe manchmal in den Computerraum gegangen.
"die Kurve, -n",1. Fahr bitte nicht so schnell in die Kurven. 2. Achtung. Das Stauende ist gleich hinter einer Kurve.
kurz,1. Ricardo hat kurze Haare. 2. Kann ich Sie kurz sprechen? 3. Kurz vor 8 Uhr hat das Telefon geklingelt. 4. Mein Mann ist kurz nach mir gekommen. 5. Ich bin vor Kurzem nach München gezogen. 6. Ich wohne seit Kurzem in München. 7. Ich habe das Kleid kürzer machen lassen.
kürzlich,"Wir haben doch kürzlich darüber gesprochen, dass wir am Wochenende wegfahren wollen."
"küssen, küsst, küsste, hat geküsst",1. Er nahm sie in die Arme und küsste sie. 2. Beim Verabschieden haben wir uns alle geküsst.
"der Kuss, ¨-e",Gib der Mama einen Kuss!
"die Küste, -n",Unser Dorf liegt direkt an der Küste.
"das Kuvert, -s (A) → der Briefumschlag; CH: Couvert",Ich hätte gern 50 Kuverts und Briefmarken dazu.
"lächeln, lächelt, lächelte, hat gelächelt",Schauen Sie in die Kamera. Bitte lächeln!
"lachen, lacht, lachte, hat gelacht",1. Lachen ist gesund. 2. Wir haben viel gelacht. 3. Die Kinder haben über den Witz gelacht.
"der Laden, ¨-",1. Dieses Kleid habe ich in einem Laden im Zentrum gekauft. 2. Ich kaufe meine Zeitung immer beim Zeitungsladen am Eck.
die Lage,Wir suchen eine Wohnung an/in zentraler Lage.
"das Lager, -","1. Ich weiß nicht, ob wir diesen Schuh in Ihrer Größe haben. Ich sehe mal im Lager nach. 2. Unsere Kinder fahren im Sommer ins Zeltlager."
"die Lampe, -n",1. Ich habe mir eine neue Lampe gekauft. 2. Mach doch bitte die Lampe an. Es ist so dunkel hier.
"das Land, ¨-er",1. Deutschland ist ein schönes Land. 2. Möchten Sie lieber auf dem Land oder in der Stadt wohnen? 3. Wir haben ein Stück Land gekauft und wollen dort bauen. 4. In welchen Ländern warst du schon?
die Landwirtschaft,Auf dem Land arbeiten die meisten Leute in der Landwirtschaft.
"die Landschaft, -en",Die Landschaft ist sehr hügelig.
"landen, landet, landete, ist gelandet",1. Wir sind erst um 20 Uhr in München gelandet. 2. Wegen starken Nebels konnte die Maschine nicht in Frankfurt landen.
"die Landung, -en",Bei der Landung müssen Sie sich anschnallen.
lang,1. Der Teppich ist 3 m lang und 2 m breit. 2. Meine Schwester hat mir einen langen Brief geschrieben. 3. Die Hose ist zu lang. Können Sie sie kürzer machen?
die Länge,"Mein Schreibtisch hat folgende Maße: Länge 1.20 m, Breite: 0,85 m, Höhe: 0,75 m."
"lange, lang",1. Wie lange dauert die Fahrt von Hamburg nach Berlin? 2. Wie lange bist du schon in Deutschland? 3. Wartest du schon lange? 4. Wir sind noch lange nicht fertig mit der Arbeit. 5. Wir haben lange gefrühstückt. 6. Beim Arzt muss man oft lange warten. 7. Ich komme gleich. Es dauert nicht lange.
langsam,1. Könnten Sie bitte etwas langsamer sprechen? 2. Es wird langsam kalt. Es wird Herbst.
längst,Wann reparierst du die Heizung. – Die habe ich schon längst repariert.
langweilig,Der Film war sehr langweilig.
"sich langweilen, langweilt, langweilte, hat gelangweilt",Langweilst du dich?
die Langeweile,Es ist aus Langeweile eingeschlafen.
der Lärm,Die Flugzeuge machen einen schrecklichen Lärm.
"lassen, lässt, ließ, hat gelassen",1. Ich habe mein Gepäck am Bahnhof gelassen. 2. Am Samstag lasse ich mir die Haare schneiden. 3. Ich lasse meine Kinder abends nur eine Stunde fernsehen. 4. Kann ich mein Auto hier stehen lassen? 5. Wo habe ich nur meine Brille gelassen? 6. Ich habe meinen Anzug reinigen lassen. 7. Ich kann meine kleine Tochter noch nicht allein lassen. 8. Lass mich in Ruhe. Ich muss arbeiten.
"der Laster, -",Auf der Autobahn waren so viele Laster. Deshalb hat es so lange gedauert.
"laufen, läuft, lief, ist gelaufen","1. Ich bin gestern 100 m in 10,4 Sekunden gelaufen. 2. Bist du mit dem Auto hier? – Nein, ich bin gelaufen. 3. Jeden Morgen gehe ich eine halbe Stunde laufen. 4. Wann läuft der Film? 5. Wie geht´s beruflich? – Danke, das Geschäft läuft gut."
"das Laufwerk, -e",Für meinen Computer habe ich mir ein neues Laufwerk gekauft.
"die Laune, -n","Heute geht es mir besser, aber gestern hatte ich richtig schlechte Laune."
laut,1. Lass uns gehen. Hier ist es mir zu laut. 2. Können Sie bitte etwas lauter sprechen? 3. Laut Wetterbericht gibt es morgen Regen.
"der Lautsprecher, -",Bitte achten Sie auch auf die Lautsprecher-Ansagen am Bahnhof.
lecker,Das Essen war sehr lecker.
"leben, lebt, lebte, hat gelebt",1. Leben Ihre Großeltern noch? 2. Herr Müller hat lange im Ausland gelebt. 3. Von der Rente allein kann meine Tante nicht leben. 4. Ich lebe noch bei meinen Eltern.
das Leben,1. Ich habe mich an das Leben auf dem Land gewöhnt. 2. Hier ist das Leben teuer.
"der Lebenslauf, ¨-e",Hast du den Lebenslauf für die Bewerbung schon geschrieben?
die Lebensmittel (Pl.),1. Lebensmittel werden immer teurer. 2. Meine Lebensmittel kaufe ich im Supermarkt.
das Leder,Ist die Tasche aus Leder?
ledig,Wie ist Ihr Familienstand? – Ledig.
leer,1. Das Restaurant war fast leer. 2. Die Kanne ist fast leer. Ich mache uns neuen Tee.
"legen, legt, legte, hat gelegt",1. Ich habe Ihnen die Briefe auf den Schreibtisch gelegt. 2. Legen Sie die Zeitungen bitte dort ins Regal.
die Lehre,Mein Cousin will eine dreijährige Lehre machen.
"die Lehrstelle, -n",Es sind noch viele Lehrstellen frei.
"der Lehrer, die Lehrerin, -nen",Die Lehrerin hat heute viele Hausaufgaben gegeben.
"der Lehrling, -e",Als Lehrling verdient man nicht sehr viel Geld.
leicht,"1. Der Koffer ist ganz leicht. Ich kann ihn allein tragen. 2. Es ist nicht leicht, bei diesem Arzt einen Termin zu bekommen."
"leid tun, tut leid, tat leid, hat leidgetan","1. Die Frau tut mir leid. 2. Wie komme ich zum Bahnhof? - Tut mir leid, das weiß ich nicht. 3. Es tut mir leid, dass ich Ihnen nicht helfen kann."
"leiden, leidet, litt, hat gelitten",1. Er leidet an einer schweren Krankheit. 2. Sie leidet sehr unter den Verhältnissen.
leider,1. Da kann ich Ihnen leider nicht helfen. 2. Hast du schon eine Antwort auf deinen Brief? – Leider nicht. 3. Leider kann ich nicht kommen. Ich muss zum Arzt.
"leihen, leiht, lieh, hat geliehen",1. Ich habe mir von meinem Bruder 50 Euro geliehen. 2. Ich kann dir mein Fahrrad leihen. 3. Sie können das Buch in der Bibliothek ausleihen.
leise,1. Seid leise. Die anderen schlafen schon. 2. Könntest du das Radio bitte etwas leiser stellen?
"leisten, leistet, leistete, hat geleistet",1. So ein teures Auto kann ich mir leider nicht leisten. 2. Bei einem Unfall muss jeder Erste Hilfe leisten.
"die Leistung, -en",Meine Leistungen in der Schule sind ganz gut.
"leiten, leitet, leitete, hat geleitet",Wer leitet den Kurs?
"der Leiter, -","Wie heißt die Leiterin der Schule? die Leiterin, -nen"
"die Leitung, -en","1. Ab 1. Juli übernimmt Herr Meier die Leitung der Abteilung. 2. Tut mir leid, alle Leitungen sind besetzt. 3. Wir müssen eine neue Leitung legen lassen."
"die Leiter, -n",Haben Sie eine Leiter für mich? Ich will die Fenster putzen.
"lernen, lernt, lernte, hat gelernt",Wie lange lernen Sie schon Deutsch?
"der Lerner, -","Sie ist eine fleißige Lernerin. die Lernerin, -nen"
"lesen, liest, las, hat gelesen","1. Ich habe gelesen, dass es ab heute Sonderangebote gibt. 2. Deine Schrift kann ich nicht gut lesen. 3. In der Schule lesen wir ein Buch von Goethe."
"der Leser, die Leserin, -nen",1. Die Leserinnen und Leser sind mit der Zeitung zufrieden. 2. Ich werde einen Leserbrief schreiben.
letzt-,1. Was hast du letzte Woche gemacht? 2. Ich wohne im letzten Haus auf der rechten Seite. 3. Wann haben Sie Ihre Familie das letzte Mal gesehen?
die Leute (Pl.),Auf der Party waren viele Leute.
"das Lexikon, -Lexika",Wir könnten im Lexikon nachsehen.
"das Licht, -er",1. Kannst du bitte Licht machen? Ich kann so nichts sehen. 2. Es ist so dunkel. Wo macht man hier das Licht an?
"lieben, liebt, liebte, hat geliebt","1. Ich liebe meine Familie. 2. Meine Frau liebt ihren Beruf. 3. Wir sind schon lange verheiratet, aber wir lieben uns immer noch."
lieb,1. Die Kinder waren heute sehr lieb. 2. Vielen Dank für deine Hilfe. Das ist sehr lieb von dir. 3. Liebe Frau Meier!
die Liebe,1. Wir haben aus Liebe geheiratet. 2. Für mich ist das Wichtigste die Liebe zu meiner Familie und zu meinen Kindern. 3. Die Kinder haben die Geschenke mit viel Liebe gemacht.
Lieblings-,"z. B. Lieblingsfarbe, Lieblingsfilm, Lieblingsessen Mein Lieblingsessen ist Pizza."
"das Lied, -er",Zu deinem Geburtstag singen wir dir ein Lied.
"liefern, liefert, lieferte, hat geliefert",Wir liefern Ihnen das Regal direkt ins Haus.
"die Lieferung, -en",Sie bezahlen erst bei der Lieferung.
"liegen, liegt, lag, hat/ist gelegen",1. Der Brief liegt schon auf Ihrem Schreibtisch. 2. Judith liegt noch im Bett. 3. Er liegt schon seit drei Wochen im Krankenhaus. 4. Frankfurt liegt am Main. 5. In den Bergen liegt schon Schnee.
"der Lift, -e → D, A: Aufzug",Im Büro ist leider der Lift kaputt.
"die Limonade, -n",Die Limonade ist sehr süß.
"die Linie, -n",Zum Hauptbahnhof können Sie mit der Linie 8 fahren.
links,1. An der Kreuzung müssen Sie nach links abbiegen. 2. Gehen Sie die nächste Straße links.
link-,1. Er hat sich das linke Bein gebrochen. 2. Das Haus ist auf der linken Seite.
"die Lippe, -n",Es ist sehr kalt. Meine Lippen sind ganz trocken.
"die Liste, -n",Was brauchen wir für die Party? – Mach doch eine Einkaufsliste.
die Literatur,Ich interessiere mich für Literatur.
"loben, lobt, lobte, hat gelobt",Ich habe alle Hausaufgaben gemacht. Der Lehrer hat mich heute gelobt.
"das Loch, ¨-er","1. Ich habe ein Loch im Zahn. Ich muss zum Zahnarzt. 2. Deine Hose hat ein Loch. – Ich weiß, sie ist schon alt."
locker,Lassen Sie bitte die Arme ganz locker und atmen Sie tief ein.
"der Löffel, -","Bitte, bringen Sie mir einen Löffel."
"der Lohn, ¨-e",1. Sie bekommen Ihren Lohn immer am Ende des Monats. 2. Die Löhne sind hier sehr niedrig.
"sich lohnen, lohnt sich, lohnte sich, hat sich gelohnt",Für drei Tage zu meinen Eltern fahren lohnt sich nicht. Es ist zu weit.
"das Lokal, -e",Gibt es hier in der Nähe ein gemütliches Lokal?
los/los-,1. Los! Beeilt euch! 2. Gibt es ein Problem? Was ist denn los? 3. Achtung – fertig – los!
"losfahren, fährt los, fuhr los, ist losgefahren",Wir fahren um 8 Uhr los. Sei bitte pünktlich.
"löschen, löscht, löschte, hat gelöscht",1. Du kannst die Datei löschen. Ich brauche sie nicht mehr. 2. Das Feuer wurde schnell gelöscht.
"lösen, löst, löste, hat gelöst",1. Wir müssen dieses Problem lösen. 2. Sie können die Fahrkarten auch am Automaten lösen.
"die Lösung, -en",1. Wir fahren alle zusammen mit dem Zug. Das ist die beste Lösung. 2. Die Aufgabe ist nicht schwer. Die Lösung ist ganz einfach.
die Luft,"1. Oh, hier ist aber schlechte Luft. 2. Die Seeluft tut mir gut. 3. Bitte mach das Fenster auf. Ich brauche frische Luft."
"lügen, lügt, log, hat gelogen","1. Du sollst nicht lügen. 2. Glaube nicht alles, was man dir sagt. Es ist oft gelogen."
"die Lüge, -n",Das ist eine Lüge!
die Lust,1. Ich habe keine Lust zu grillen. 2. Hast du Lust auf einen Tee?
lustig,1. Ich habe einen lustigen Film gesehen. 2. Mir ist heute etwas Lustiges passiert.
"machen, macht, machte, hat gemacht",1. Was machst du am Wochenende? 2. Ich muss jetzt das Essen machen. 3. Ich habe die Betten noch nicht gemacht. 4. Soll ich dir die Suppe noch einmal warm machen? 5. Meine Arbeit macht mir viel Spaß. 6. Mach dir bitte keine Sorgen. 7. Was würden Sie an meiner Stelle machen? 8. Tut mir leid. Die Küche hat schon geschlossen. – Da kann man nichts machen. 9. Entschuldigung! – Das macht doch nichts. 10. Das macht zusammen 20 Euro.
"das Mädchen, -",Familie Kurz hat zwei Mädchen und einen Jungen.
"das Magazin, -e",Jugendliche lesen dieses Magazin gern.
"der Magen, ¨-",Mit tut der Magen weh. Ich habe Magenschmerzen.
mager,Bitte 1 kg mageres Fleisch.
"die Mahlzeit, -en",1. Die Tropfen bitte immer nach den Mahlzeiten einnehmen. 2. In Deutschland gibt es meist nur einmal am Tag eine warme Mahlzeit.
"die Mahnung, -en","Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung."
mal,(siehe einmal)
"das Mal, -e",1. Das machen wir nächstes Mal. 2. Das erste Mal war ich vor fünf Jahren in England. 3. Bis zum nächsten Mal.
"malen, malt, malte, hat gemalt",Das Bild hat mein Vater gemalt.
"der Maler, die Malerin, -nen",1. Wir haben die Maler im Haus. Wir lassen die Wände neu streichen. 2. Picasso ist vielleicht der bekannteste Maler der Welt.
man,1. Wie schreibt man das? 2. Hier darf man nicht parken.
manch-,1. Manche Nachbarn sind unfreundlich. 2. An manchen Tagen ist das Zugfahren billiger.
manchmal,1. Manchmal gehe ich mit meiner Frau ins Café. 2. Rauchen Sie? – Manchmal.
"der Mangel, ¨-",1. In dieser Stadt gibt es einen großen Mangel an Wohnungen. 2. Die Maschine hat technische Mängel.
"der Mann, ¨-er",1. In unserer Firma arbeiten fast nur Männer. 2. Mein Mann arbeitet bei der Post.
männlich,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.
"die Mannschaft, -en",Unsere Mannschaft hat 0:1 verloren.
"der Mantel, ¨-",Es ist sehr kalt. Zieh deinen Mantel an.
"die Mappe, -n",Mein Pass ist in dieser Mappe.
"das Märchen, -",Meine Großmutter hat uns viele Märchen erzählt.
die Margarine,Meine Frau isst nur Margarine und keine Butter.
"die Marille, -n (A) → D, CH: Aprikose",Schmecken dir die Marillen?
"die Marke, -n",1. Ich brauche bitte fünf Briefmarken zu 1 Euro. 2. Markenschuhe sind mir zu teuer.
